fold_line,auc
"fold 1, valid auc = 0.9677, test auc = 0.8896",0.8896
"fold 2, valid auc = 0.9911, test auc = 0.9002",0.9002
"fold 3, valid auc = 0.9969, test auc = 0.8813",0.8813
"fold 4, valid auc = 0.9405, test auc = 0.8404",0.8404
"fold 5, valid auc = 0.9382, test auc = 0.8993",0.8993
