fold_line,auc
"fold 1, valid auc = 0.9457, test auc = 0.9105",0.9105
"fold 2, valid auc = 0.9552, test auc = 0.9259",0.9259
"fold 3, valid auc = 0.9719, test auc = 0.9542",0.9542
"fold 4, valid auc = 0.9666, test auc = 0.9581",0.9581
"fold 5, valid auc = 0.9225, test auc = 0.9600",0.96
