fold_line,rmse
"fold 1, valid rmse = 0.9821, test rmse = 0.9443",0.9443
"fold 2, valid rmse = 0.8105, test rmse = 0.9378",0.9378
"fold 3, valid rmse = 0.9369, test rmse = 1.0578",1.0578
"fold 4, valid rmse = 0.8648, test rmse = 0.8243",0.8243
"fold 5, valid rmse = 0.9222, test rmse = 0.8552",0.8552
