fold_line,rmse
"fold 1, valid rmse = 1.9642, test rmse = 1.9961",1.9961
"fold 2, valid rmse = 2.0659, test rmse = 1.9997",1.9997
"fold 3, valid rmse = 2.0120, test rmse = 1.9755",1.9755
"fold 4, valid rmse = 2.0175, test rmse = 1.9981",1.9981
"fold 5, valid rmse = 2.0298, test rmse = 2.0040",2.004
