fold_line,rmse
"fold 1, valid rmse = 0.4804, test rmse = 0.5806",0.5806
"fold 2, valid rmse = 0.5194, test rmse = 0.6267",0.6267
"fold 3, valid rmse = 0.4986, test rmse = 0.5387",0.5387
"fold 4, valid rmse = 0.4894, test rmse = 0.5679",0.5679
"fold 5, valid rmse = 0.5032, test rmse = 0.5537",0.5537
