fold_line,auc
"fold 1, valid auc = 0.7967, test auc = 0.8764",0.8764
"fold 2, valid auc = 0.8648, test auc = 0.8481",0.8481
"fold 3, valid auc = 0.8861, test auc = 0.7912",0.7912
"fold 4, valid auc = 0.8969, test auc = 0.8036",0.8036
"fold 5, valid auc = 0.9162, test auc = 0.8937",0.8937
