fold_line,rmse
"fold 1, valid rmse = 2.2146, test rmse = 2.8120",2.812
"fold 2, valid rmse = 1.2681, test rmse = 2.7665",2.7665
"fold 3, valid rmse = 1.5854, test rmse = 1.4866",1.4866
"fold 4, valid rmse = 1.3565, test rmse = 1.8904",1.8904
"fold 5, valid rmse = 1.8827, test rmse = 3.2846",3.2846
