fold_line,rmse
"fold 1, valid rmse = 0.6427, test rmse = 0.9182",0.9182
"fold 2, valid rmse = 0.6551, test rmse = 0.6963",0.6963
"fold 3, valid rmse = 0.7394, test rmse = 0.8210",0.821
"fold 4, valid rmse = 0.7931, test rmse = 0.7204",0.7204
"fold 5, valid rmse = 0.6727, test rmse = 0.8460",0.846
