fold_line,rmse
"fold 1, valid rmse = 1.9972, test rmse = 2.1893",2.1893
"fold 2, valid rmse = 2.0191, test rmse = 2.0865",2.0865
"fold 3, valid rmse = 2.0059, test rmse = 2.1187",2.1187
"fold 4, valid rmse = 1.9484, test rmse = 2.0707",2.0707
"fold 5, valid rmse = 1.9699, test rmse = 2.1676",2.1676
