fold_line,rmse
"fold 1, valid rmse = 0.5503, test rmse = 0.5466",0.5466
"fold 2, valid rmse = 0.5882, test rmse = 0.5715",0.5715
"fold 3, valid rmse = 0.5321, test rmse = 0.5649",0.5649
"fold 4, valid rmse = 0.5385, test rmse = 0.5509",0.5509
"fold 5, valid rmse = 0.5911, test rmse = 0.5764",0.5764
