fold_line,rmse
"fold 1, valid rmse = 0.8917, test rmse = 1.0639",1.0639
"fold 2, valid rmse = 0.7584, test rmse = 0.8379",0.8379
"fold 3, valid rmse = 0.8619, test rmse = 1.1436",1.1436
"fold 4, valid rmse = 0.8374, test rmse = 0.8657",0.8657
"fold 5, valid rmse = 0.8238, test rmse = 0.8126",0.8126
