fold_line,rmse
"fold 1, valid rmse = 0.5884, test rmse = 0.6552",0.6552
"fold 2, valid rmse = 0.5348, test rmse = 0.6253",0.6253
"fold 3, valid rmse = 0.6029, test rmse = 0.6707",0.6707
"fold 4, valid rmse = 0.6391, test rmse = 0.6830",0.683
"fold 5, valid rmse = 0.5698, test rmse = 0.6711",0.6711
