,AUC,accuracy,precision,recall,f1
0,0.6188106729840555,0.0214285714285714,0.5856684323655258,0.6799507216624586,0.6206163817856271
6,0.6300538911829314,0.0071428571428571,0.5702703540123302,0.6494259914234779,0.5806210427577275
1,0.6414258475318187,0.0,0.5617722655080213,0.6740766408313468,0.6110196882050445
8,0.6452072438002908,0.0071428571428571,0.5936373937123625,0.6632170758802766,0.6074317300024289
7,0.6481404733027255,0.0142857142857142,0.6113888542259687,0.6192786415567199,0.5963177757266757
