,AUC,accuracy,precision,recall,f1
2,0.882480694980695,0.9019607843137256,0.9383561643835616,0.9256756756756755,0.9319727891156464
3,0.8924021040327295,0.8970588235294118,0.9492753623188406,0.903448275862069,0.9257950530035336
5,0.8958441558441559,0.8529411764705882,0.992063492063492,0.8116883116883117,0.8928571428571429
9,0.897422126745435,0.8676470588235294,0.9838709677419356,0.8299319727891157,0.9003690036900369
4,0.903661127077346,0.9117647058823528,0.9586206896551724,0.9205298013245032,0.9391891891891893
