,Pearson,MAE,RMSE
2,0.9544532,0.4640800654888153,0.6017415411908925
8,0.95429355,0.5021812915802002,0.6415175291447949
1,0.9488943,0.5296083688735962,0.6668136156569635
7,0.930419,0.544762372970581,0.7055149151978
3,0.93983,0.5561515092849731,0.7227491989157693
