,Pearson,MAE,RMSE
9,0.5660524,1.9423577785491943,2.547138411117108
8,0.618479,1.974897861480713,2.574533446183043
2,0.57205737,1.9290342330932615,2.5802270815962185
7,0.5147743,1.990232229232788,2.5890248472598723
0,0.5758071,2.14436674118042,2.7628103470273446
