,AUC,accuracy,precision,recall,f1
5,0.8515600378190986,0.824390243902439,0.9712230215827338,0.8083832335329342,0.8823529411764706
7,0.853308823529412,0.8917525773195877,0.954248366013072,0.9125,0.9329073482428116
3,0.8684540072859744,0.8682926829268293,0.9398496240601504,0.8680555555555556,0.9025270758122744
9,0.8726092896174864,0.9073170731707316,0.913907284768212,0.9583333333333334,0.9355932203389832
8,0.8841659363131755,0.8439024390243902,0.9851851851851852,0.8159509202453987,0.8926174496644296
