,AUC,accuracy,precision,recall,f1
6,0.7763626244814154,0.5478927203065134,0.4264931442014776,0.1399998807575713,0.1963848475216749
7,0.7782626828603192,0.5440613026819924,0.4614753796255344,0.1867705584018552,0.2231686972853487
0,0.7800598107094876,0.5862068965517241,0.5322120589977734,0.1163216025419543,0.166495133891147
9,0.784967781353031,0.5951468710089399,0.4400408284683296,0.1667192471982731,0.220490776669975
8,0.7897577634416532,0.5389527458492975,0.637125605875606,0.117251139496519,0.1842903798805939
