,Pearson,MAE,RMSE
3,0.8699446,1.4885820150375366,2.0952176316508777
6,0.8828871,1.811750411987305,2.23467599401978
0,0.7661029,1.848668098449707,2.2842226909162724
9,0.8924546,1.8697476387023928,2.405679709490551
1,0.9084476,1.968317985534668,2.72083264088488
