,AUC,accuracy,precision,recall,f1
9,0.8097559309515142,0.6217948717948718,0.5229020979020979,0.1842569733925682,0.2527706126806954
5,0.8126772822714768,0.6384615384615384,0.6705920205920206,0.1686333308117783,0.247496695154818
4,0.8126968502457816,0.6397435897435897,0.4699781061850027,0.1389072592408424,0.1975392179523949
8,0.8220673895865712,0.6538461538461539,0.6927083333333334,0.1505790751156456,0.2167120548037734
0,0.8235523903939557,0.6435897435897436,0.5593510656010655,0.160886712557947,0.2368233857544396
